Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
0,1e-08,1e-08,1e-08,0.0,91.0,84268.3,12176.5,200
1,1e-08,1e-08,1e-08,0.0,85.0,80002.1,10584.7,400
2,1e-08,1e-08,1e-08,0.0,85.0,77698.6,11475.699999999999,600
3,1e-08,1e-08,1e-08,0.0,76.0,70930.29999999999,10329.4,800
4,1e-08,1e-08,1e-08,0.0,70.0,70557.5,8325.2,1000
5,1e-08,1e-08,1e-08,0.0,70.0,70268.4,9234.599999999999,1200
6,1e-08,1e-08,1e-08,0.0,81.0,77565.8,10343.2,1400
7,1e-08,1e-08,1e-08,0.0,76.0,72368.1,10650.0,1600
8,1e-08,1e-08,1e-08,0.0,68.0,61855.3,8631.9,1800
9,1e-08,1e-08,1e-08,0.0,66.0,63433.30000000001,8768.7,2000
10,1e-08,1e-08,1e-08,0.0,88.0,81358.79999999999,10392.2,2200
11,1e-08,1e-08,1e-08,0.0,67.0,61839.5,9129.1,2400
12,1e-08,1e-08,1e-08,0.0,79.0,72051.79999999999,10192.9,2600
13,1e-08,1e-08,1e-08,0.0,76.0,69628.3,10021.2,2800
14,1e-08,1e-08,1e-08,0.0,71.0,66584.9,8982.0,3000
15,1e-08,1e-08,1e-08,0.0,76.0,72697.0,9601.7,3200
16,1e-08,1e-08,1e-08,0.0,77.0,75773.20000000001,10196.1,3400
17,1e-08,1e-08,1e-08,0.0,73.0,70270.0,9898.3,3600
18,1e-08,1e-08,1e-08,0.0,80.0,74802.0,9944.3,3800
19,1e-08,1e-08,1e-08,0.0,68.0,65150.6,9027.699999999999,4000
20,1e-08,1e-08,1e-08,0.0,68.0,63565.9,8989.9,4200
21,1e-08,1e-08,1e-08,0.0,74.0,71016.1,9176.8,4400
22,1e-08,1e-08,1e-08,0.0,78.0,71231.8,9621.2,4600
23,1e-08,1e-08,1e-08,0.0,82.0,84164.5,11350.2,4800
24,1e-08,1e-08,1e-08,0.0,87.0,80639.0,10864.2,5000
25,1e-08,1e-08,1e-08,0.0,77.0,72309.5,9945.7,5200
